Glendale,AZ,Glendale AZ,245895,33.6669,-112.1857,85308
Reno,NV,Reno NV,245255,39.4896,-119.7492,89502
Norfolk,VA,Norfolk VA,245115,36.853,-76.2882,23510
Winston-salem,NC,Winston-salem NC,242203,36.0999,-80.2442,
North Las Vegas,NV,North Las Vegas NV,238702,36.2187,-115.1293,89030
Irving,TX,Irving TX,238289,32.8795,-96.9398,75039
Chesapeake,VA,Chesapeake VA,237940,36.7646,-76.199,23320
Gilbert,AZ,Gilbert AZ,237133,33.3462,-111.8153,85233
Hialeah,FL,Hialeah FL,236387,25.9372,-80.317,33015
Garland,TX,Garland TX,234943,32.8756,-96.6482,75041
Fremont,CA,Fremont CA,233136,37.5079,-121.9599,94538
Baton Rouge,LA,Baton Rouge LA,227715,30.4386,-91.1703,70802
Richmond,VA,Richmond VA,223170,37.5858,-77.4888,23230
San Bernardino,CA,San Bernardino CA,216239,34.078,-117.2578,92408
Des Moines,IA,Des Moines IA,215472,41.5839,-93.6289,50309
Modesto,CA,Modesto CA,212175,37.6369,-121.0171,95351
Birmingham,AL,Birmingham AL,212157,33.4468,-86.7404,35243
Tacoma,WA,Tacoma WA,211277,47.1511,-122.4492,98444
Fontana,CA,Fontana CA,209665,34.0881,-117.4648,92335
Rochester,NY,Rochester NY,208880,43.1493,-77.5081,14625
Oxnard,CA,Oxnard CA,207906,34.198,-119.1726,93030
Moreno Valley,CA,Moreno Valley CA,205499,33.9224,-117.2476,92553
Fayetteville,NC,Fayetteville NC,204759,35.0785,-78.9336,28303
Aurora,IL,Aurora IL,201110,41.759,-88.2615,60504
Glendale,CA,Glendale CA,200831,34.1352,-118.2416,91205
Yonkers,NY,Yonkers NY,200807,40.9513,-73.8773,10701
Huntington Beach,CA,Huntington Beach CA,200652,33.711,-118.0438,92649
Montgomery,AL,Montgomery AL,200022,32.3934,-86.3222,36104
Amarillo,TX,Amarillo TX,199582,35.2006,-101.821,79102
Little Rock,AR,Little Rock AR,198541,34.7465,-92.2896,72203
Akron,OH,Akron OH,197633,41.1537,-81.6374,44333
Columbus,GA,Columbus GA,197485,32.4647,-84.9884,31901
Augusta,GA,Augusta GA,197081,33.5242,-82.0926,30907
Grand Rapids,MI,Grand Rapids MI,196445,42.9777,-85.711,49504
Shreveport,LA,Shreveport LA,194920,32.6188,-93.8852,71107
Salt Lake City,UT,Salt Lake City UT,193744,40.7608,-111.8911,
Huntsville,AL,Huntsville AL,193079,34.7528,-86.6901,35806
Mobile,AL,Mobile AL,192904,30.6586,-88.3535,36608
Tallahassee,FL,Tallahassee FL,190894,30.5802,-84.1266,32309
Grand Prairie,TX,Grand Prairie TX,190682,32.7781,-96.9555,75050
Overland Park,KS,Overland Park KS,188966,38.9247,-94.7029,66210
Knoxville,TN,Knoxville TN,186239,36.0582,-83.9147,37918
Port St. Lucie,FL,Port St. Lucie FL,185132,27.2939,-80.3503,
Worcester,MA,Worcester MA,184508,42.2618,-71.8028,1608
Brownsville,TX,Brownsville TX,183823,25.9509,-97.3254,78521
Tempe,AZ,Tempe AZ,182498,33.4001,-111.929,85282
Santa Clarita,CA,Santa Clarita CA,181972,34.4302,-118.5193,91350
Newport News,VA,Newport News VA,181825,37.0834,-76.4697,23606
Cape Coral,FL,Cape Coral FL,179804,26.6356,-82.0164,33991
Providence,RI,Providence RI,179219,41.8195,-71.4107,2903
Fort Lauderdale,FL,Fort Lauderdale FL,178752,26.1882,-80.1711,33309
Chattanooga,TN,Chattanooga TN,177571,35.0671,-85.2456,37406
Rancho Cucamonga,CA,Rancho Cucamonga CA,176534,34.0995,-117.5808,91730
Oceanside,CA,Oceanside CA,175464,33.2004,-117.2907,92056
Santa Rosa,CA,Santa Rosa CA,175155,38.5021,-122.7619,95403
Garden Grove,CA,Garden Grove CA,174858,33.7877,-117.9738,92841
Vancouver,WA,Vancouver WA,174826,45.6023,-122.5167,98683
Sioux Falls,SD,Sioux Falls SD,174360,43.5042,-96.8391,57106
Ontario,CA,Ontario CA,173212,34.0778,-117.6261,91764
Mckinney,TX,Mckinney TX,172298,33.2542,-96.6863,75071
Elk Grove,CA,Elk Grove CA,169743,38.4412,-121.3064,95624
Jackson,MS,Jackson MS,169148,32.3134,-90.172,39202
Pembroke Pines,FL,Pembroke Pines FL,168587,26.0032,-80.2239,33082
Salem,OR,Salem OR,167419,44.9016,-122.9223,97301
Springfield,MO,Springfield MO,167319,37.219,-93.3176,65802
Corona,CA,Corona CA,166785,33.8778,-117.5344,92879
Eugene,OR,Eugene OR,166575,44.069,-123.0825,97401
Fort Collins,CO,Fort Collins CO,164207,40.5939,-105.1256,80521
Peoria,AZ,Peoria AZ,164173,33.6574,-112.2463,85382
Frisco,TX,Frisco TX,163656,33.1499,-96.8555,75034
Cary,NC,Cary NC,162320,35.8059,-78.7997,27513
Lancaster,CA,Lancaster CA,160106,34.7297,-118.1575,93534
Hayward,CA,Hayward CA,158937,37.6393,-122.0442,94544
Palmdale,CA,Palmdale CA,157356,34.52,-118.0835,93550
Salinas,CA,Salinas CA,157218,36.6478,-121.6259,93901
Alexandria,VA,Alexandria VA,155810,38.8177,-77.1527,22312
Lakewood,CO,Lakewood CO,154393,39.7047,-105.0814,
Springfield,MA,Springfield MA,154074,42.121,-72.4896,1129
Pasadena,TX,Pasadena TX,153351,29.7056,-95.1559,77503
Sunnyvale,CA,Sunnyvale CA,152771,37.3697,-122.0214,94086
Macon,GA,Macon GA,152555,32.8293,-83.4928,31217
Pomona,CA,Pomona CA,152494,34.039,-117.7548,91766
Hollywood,FL,Hollywood FL,151998,25.9825,-80.3434,33027
Kansas City,KS,Kansas City KS,151709,39.1185,-94.6248,66101
Escondido,CA,Escondido CA,151613,33.1192,-117.0864,92046
Clarksville,TN,Clarksville TN,150287,36.4642,-87.3797,37040
Joliet,IL,Joliet IL,148262,41.5085,-88.2278,60431
Rockford,IL,Rockford IL,147651,42.3423,-89.0816,61103
Torrance,CA,Torrance CA,147195,33.8669,-118.3312,90504
Naperville,IL,Naperville IL,147122,41.8032,-88.1341,60563
Paterson,NJ,Paterson NJ,147000,40.9111,-74.1425,7504
Savannah,GA,Savannah GA,146763,32.1213,-81.1822,31408
Bridgeport,CT,Bridgeport CT,145936,41.1723,-73.2014,6604
Mesquite,TX,Mesquite TX,143736,32.8195,-96.6338,75150
Killeen,TX,Killeen TX,143400,31.2164,-97.7418,76544
Syracuse,NY,Syracuse NY,143378,43.0347,-76.0729,13214
Mcallen,TX,Mcallen TX,142212,26.2199,-98.239,78501
Pasadena,CA,Pasadena CA,142059,34.1379,-118.1296,91106
Bellevue,WA,Bellevue WA,141400,47.5527,-122.1479,98006
Fullerton,CA,Fullerton CA,140721,33.9019,-117.9108,92835
Orange,CA,Orange CA,140504,33.7885,-117.8695,92868
Dayton,OH,Dayton OH,140489,39.833,-84.2177,45414
Miramar,FL,Miramar FL,138449,25.9873,-80.2323,
West Valley City,UT,West Valley City UT,136574,40.6916,-112.0011,
Olathe,KS,Olathe KS,135473,38.8518,-94.7786,66062
Hampton,VA,Hampton VA,135410,37.0627,-76.4052,23666
Warren,MI,Warren MI,135125,42.4736,-82.9968,48089
Midland,TX,Midland TX,134610,31.9974,-102.0779,79711
Waco,TX,Waco TX,134432,31.4789,-97.0926,76706
Charleston,SC,Charleston SC,134385,32.9326,-79.9798,29406
Columbia,SC,Columbia SC,134309,34.0988,-81.0612,29203
Denton,TX,Denton TX,133808,33.2324,-97.1108,76209
Carrollton,TX,Carrollton TX,133351,32.9478,-96.8915,75006
Surprise,AZ,Surprise AZ,132677,33.6475,-112.3884,85374
Roseville,CA,Roseville CA,132671,38.7439,-121.2558,95661
Sterling Heights,MI,Sterling Heights MI,132427,42.5587,-83.0092,48312
Murfreesboro,TN,Murfreesboro TN,131947,35.9298,-86.4605,37129
Gainesville,FL,Gainesville FL,131591,29.6851,-82.4324,32606
Cedar Rapids,IA,Cedar Rapids IA,131127,41.9106,-91.7142,52404
Visalia,CA,Visalia CA,131074,36.4063,-119.3809,93291
Coral Springs,FL,Coral Springs FL,130059,26.2712,-80.2706,
New Haven,CT,New Haven CT,129934,41.3094,-72.924,6511
Stamford,CT,Stamford CT,129113,41.0534,-73.5387,6904
Thousand Oaks,CA,Thousand Oaks CA,128888,34.2133,-118.88,91360
Concord,CA,Concord CA,128726,38.0033,-122.0318,94520
Elizabeth,NJ,Elizabeth NJ,128640,40.6728,-74.179,7201
Lafayette,LA,Lafayette LA,127626,30.1605,-92.0332,70508
Kent,WA,Kent WA,127514,47.4084,-122.1957,98031
Topeka,KS,Topeka KS,126808,39.038,-95.7278,66604
Simi Valley,CA,Simi Valley CA,126327,34.2521,-118.7843,93065
Santa Clara,CA,Santa Clara CA,125948,37.3961,-121.9617,95054
Athens,GA,Athens GA,123371,33.9033,-83.3306,30605
Hartford,CT,Hartford CT,123243,41.7686,-72.6745,6103
Victorville,CA,Victorville CA,122265,34.4954,-117.3686,92392
Abilene,TX,Abilene TX,122225,32.3418,-99.9414,79603
Norman,OK,Norman OK,122180,35.233,-97.4122,73071
Vallejo,CA,Vallejo CA,121299,38.1165,-122.2091,94591
Berkeley,CA,Berkeley CA,121240,37.8646,-122.2877,94702
Round Rock,TX,Round Rock TX,120892,30.5174,-97.6304,78664
Ann Arbor,MI,Ann Arbor MI,120782,42.2734,-83.7133,48104
Fargo,ND,Fargo ND,120762,46.8543,-96.8284,58103
Columbia,MO,Columbia MO,120612,39.0437,-92.2714,65202
Allentown,PA,Allentown PA,120443,40.5844,-75.6246,18195
Evansville,IN,Evansville IN,119477,37.9708,-87.4897,47715
Beaumont,TX,Beaumont TX,118299,30.1406,-94.1571,77708
Odessa,TX,Odessa TX,117871,31.8093,-102.4546,79763
Wilmington,NC,Wilmington NC,117525,34.1256,-77.919,28412
Arvada,CO,Arvada CO,117453,39.7941,-105.1019,80002
Independence,MO,Independence MO,117030,39.0615,-94.2657,64057
Provo,UT,Provo UT,116868,40.3393,-111.5709,84604
Lansing,MI,Lansing MI,116020,42.7422,-84.5255,48912
El Monte,CA,El Monte CA,115807,34.0734,-118.0139,91732
Springfield,IL,Springfield IL,115715,39.8011,-89.6502,62701
Fairfield,CA,Fairfield CA,114756,38.2832,-122.0085,94533
Clearwater,FL,Clearwater FL,114361,27.9839,-82.7181,33759
Peoria,IL,Peoria IL,114265,40.6999,-89.5951,61636
Rochester,MN,Rochester MN,114011,43.9621,-92.5218,55902
Carlsbad,CA,Carlsbad CA,113952,33.0958,-117.2721,92009
Westminster,CO,Westminster CO,113875,39.8301,-105.0345,80030
West Jordan,UT,West Jordan UT,113699,40.6236,-111.9871,84084
Pearland,TX,Pearland TX,113570,29.5447,-95.337,77584
Richardson,TX,Richardson TX,113347,32.9722,-96.7376,75080
Downey,CA,Downey CA,113267,33.9231,-118.1396,90242
Miami,FL,Miami FL,113058,25.9388,-80.2144,33169
Temecula,CA,Temecula CA,113054,33.53,-117.1035,92591
Costa Mesa,CA,Costa Mesa CA,112822,33.6748,-117.9089,92626
College Station,TX,College Station TX,112141,30.6131,-96.3217,77840
Elgin,IL,Elgin IL,112123,42.0358,-88.3801,60123
Murrieta,CA,Murrieta CA,111674,33.5789,-117.1412,92563
Gresham,OR,Gresham OR,111523,45.5076,-122.4307,97030
High Point,NC,High Point NC,111223,36.0162,-80.0434,27265
Antioch,CA,Antioch CA,110898,37.9912,-121.8098,94509
Inglewood,CA,Inglewood CA,110654,33.9582,-118.3614,90301
Cambridge,MA,Cambridge MA,110651,42.37,-71.0812,2141
Lowell,MA,Lowell MA,110558,42.6241,-71.3389,1851
Manchester,NH,Manchester NH,110506,42.9403,-71.4435,3103
Billings,MT,Billings MT,110323,45.7661,-108.5789,59102
Pueblo,CO,Pueblo CO,110291,38.0934,-104.6652,81004
Palm Bay,FL,Palm Bay FL,110104,28.0381,-80.6115,32905
Centennial,CO,Centennial CO,109932,39.5792,-104.8769,
Richmond,CA,Richmond CA,109813,37.9255,-122.3437,94804
Pompano Beach,FL,Pompano Beach FL,109393,26.2436,-80.2656,33071
North Charleston,SC,North Charleston SC,109298,32.8688,-80.04,29418
Everett,WA,Everett WA,109043,47.979,-122.2021,98206
Waterbury,CT,Waterbury CT,108272,41.559,-73.0373,6702
West Palm Beach,FL,West Palm Beach FL,108161,26.72,-80.0702,33401
Boulder,CO,Boulder CO,108090,40.0878,-105.3735,80314
West Covina,CA,West Covina CA,107847,34.0699,-117.9421,91790
Broken Arrow,OK,Broken Arrow OK,107403,36.0271,-95.5576,74014
Clovis,CA,Clovis CA,106583,36.8112,-119.7129,93612
Daly City,CA,Daly City CA,106472,37.6869,-122.4389,94014
Lakeland,FL,Lakeland FL,106420,28.0407,-81.9043,33801
Santa Maria,CA,Santa Maria CA,106290,34.9556,-120.5027,93458
Norwalk,CA,Norwalk CA,106178,33.9071,-118.0767,90650
Hillsboro,OR,Hillsboro OR,105164,45.5848,-122.9117,97124
Green Bay,WI,Green Bay WI,105139,44.4889,-88.0704,54304
Tyler,TX,Tyler TX,104798,32.2313,-95.2958,75703
Wichita Falls,TX,Wichita Falls TX,104724,33.8466,-98.5301,76308
